external_gene_name	ensembl_gene_id	Yeast_conservation	dN/dS	Multifunctionality	Disorder	PPI_degree	SM_fitness_defect	Copy_number	CAI	Nc	Co-expression_degree	Protein_length	Expression_level	Expression_variation	Num_of_domains	Num_of_unique_domains	Broad_conservation	Observed_GI_degree	Ortholog_in_other_species_common_name	Ortholog_in_other_species_systematic name
RAD7	YJR052W	23	0.0871	10	0.2301	3	-0.028	1	0.223	5.31E+01	447	565	0.4	0.4186	NaN	NaN	46	9	rhp7	SPCC330.02
BFA1	YJR053W	9	0.102	15	0.3868	2	0.02	1	0.252	4.84E+01	117	574	0.1	0.5592	NaN	NaN	1	33		
YJR054W	YJR054W	20	0.1318	6	0.1429	0	0.159	2	0.219	5.44E+01	121	497	1.1	0.4794	NaN	NaN	6	128		
HIT1	YJR055W	22	0.114	6	0.372	1	NaN	1	0.211	5.20E+01	474	164	0.4	0.4478	1	1	12	NaN		
YJR056C	YJR056C	16	0.1258	4	0.589	3	NaN	1	0.179	5.54E+01	458	236	0.8	0.3802	NaN	NaN	0	NaN		
CDC8	YJR057W	23	0.1104	12	0.1111	2	NaN	1	0.237	61	214	216	1	0.2475	1	1	76	NaN	tmp1	SPCC70.07c
APS2	YJR058C	21	0.0202	11	0.0408	4	0.008	1	0.212	61	290	147	1.8	0.2175	1	1	71	7	aps2	SPBC685.04c
PTK2	YJR059W	18	0.084	16	0.5966	1	0.114	2	0.225	5.28E+01	849	818	0.6	0.6265	1	1	2	115		
CBF1	YJR060W	21	0.1104	17	0.755	3	0.029	1	0.211	5.54E+01	112	351	1.3	0.395	1	1	9	87	SPAC3F10.12c	SPAC3F10.12c
YJR061W	YJR061W	10	0.104	3	0.1529	0	-0.013	2	0.223	5.52E+01	301	935	NaN	0.4646	1	1	0	3		
NTA1	YJR062C	23	0.0855	6	0.0503	0	0.008	1	0.216	5.12E+01	367	457	0.4	0.4284	1	1	8	14	nta1	SPBC23E6.03c
RPA12	YJR063W	23	0.0186	13	0.176	13	NaN	1	0.279	5.91E+01	960	125	1.8	0.6751	2	2	67	NaN	rpa12	SPCC1259.03
CCT5	YJR064W	23	0.0244	6	0.0658	4	NaN	1	0.311	4.79E+01	923	562	5.8	0.4873	1	1	85	NaN	cct5	SPAC1420.02c
ARP3	YJR065C	23	0.0128	14	0.0802	14	NaN	1	0.269	4.61E+01	662	449	1.8	0.4339	1	1	74	NaN	arp3	SPAC630.03
TOR1	YJR066W	23	0.0319	29	0.1206	4	0.004	2	0.228	5.04E+01	98	2470	0.6	0.569	6	6	27	32		
YAE1	YJR067C	19	0.0768	4	0.2057	2	NaN	1	0.251	6.08E+01	385	141	1	0.4703	1	1	4	NaN		
RFC2	YJR068W	23	0.0459	15	0.1331	9	NaN	1	0.273	5.03E+01	828	353	1.6	0.2975	2	2	84	NaN	rfc2	SPAC23D3.02
HAM1	YJR069C	23	0.0458	8	0.0406	1	0.02	1	0.28	5.51E+01	1043	197	1.8	0.3658	1	1	80	8	SPCC830.10	SPCC830.10
LIA1	YJR070C	23	0.0322	12	0.0215	7	0.074	1	0.445	3.81E+01	1035	325	4	0.7755	3	1	81	58	mmd1	SPAC30C2.02
NPA3	YJR072C	23	0.0279	6	0.2883	4	NaN	1	0.238	5.38E+01	929	385	2.1	0.5253	1	1	80	NaN	SPBC119.15	SPBC119.15
OPI3	YJR073C	23	0.0657	15	0.0631	1	0.266	1	0.293	4.81E+01	500	206	1.7	0.7775	1	1	34	158	cho1	SPBC337.16
MOG1	YJR074W	23	0.1305	6	0.1972	3	0.137	1	0.269	5.81E+01	119	218	0.8	0.5169	1	1	39	177	mog1	SPCC1840.01c
HOC1	YJR075W	23	0.0605	8	0.2904	7	0.008	2	0.286	5.27E+01	604	396	1.6	0.353	1	1	1	107		
CDC11	YJR076C	21	0.0329	20	0.2699	12	NaN	1	0.254	5.03E+01	451	415	1.1	0.3831	1	1	8	NaN	spn3	SPBC16A3.01
MIR1	YJR077C	23	0.016	15	0.2315	15	-0.018	2	0.441	3.97E+01	219	311	6.2	0.5231	3	1	9	33		
BNA2	YJR078W	17	0.1352	10	0.1766	0	-0.004	1	0.211	5.47E+01	88	453	0.2	0.5601	1	1	34	5		
YJR079W	YJR079W	1	NaN	3	0.0183	0	0.014	1	0.189	5.08E+01	183	109	0.3	0.516	NaN	NaN	NaN	10		
YJR080C	YJR080C	20	0.143	3	0.1548	0	-0.011	1	0.203	5.44E+01	600	394	0.7	0.4379	1	1	0	25		
EAF6	YJR082C	22	0.0444	10	0.4513	14	0.062	1	0.207	61	168	113	0.8	0.3139	1	1	3	29		
ACF4	YJR083C	10	0.1244	3	0.4919	1	0.002	1	0.201	5.38E+01	149	309	0.3	0.3091	NaN	NaN	0	10		
CSN12	YJR084W	23	0.0812	8	0.0757	6	NaN	1	0.194	5.85E+01	343	423	0.7	0.2911	1	1	76	NaN	SPAC1B3.08	SPAC1B3.08
YJR085C	YJR085C	22	0.0469	5	0.019	1	NaN	1	0.21	5.21E+01	734	105	8.4	0.5326	1	1	16	NaN	SPAP14E8.05c	SPAP14E8.05c
STE18	YJR086W	17	0.0679	11	0.4	1	NaN	1	0.204	5.67E+01	255	110	1	0.4562	1	1	3	NaN		
YJR088C	YJR088C	22	0.1096	3	0.1267	32	0.008	1	0.244	5.12E+01	198	292	1.1	0.3178	NaN	NaN	30	39	oca3	SPBC15C4.01c
BIR1	YJR089W	20	0.2492	21	0.4088	3	NaN	1	0.221	5.06E+01	628	954	0.2	0.3406	2	1	5	NaN		
GRR1	YJR090C	23	0.046	15	0.1555	1	NaN	1	0.224	5.30E+01	340	1151	0.4	0.3954	NaN	NaN	13	NaN	pof2	SPBC25B2.11
JSN1	YJR091C	23	0.055	8	0.5078	24	-0.01	2	0.234	5.08E+01	654	1091	0.7	0.6012	4	2	9	12		
BUD4	YJR092W	23	0.1959	9	0.4081	5	-0.002	1	0.23	5.37E+01	308	1447	0.6	0.6018	2	2	3	9	mid2	SPAPYUG7.03c
FIP1	YJR093C	23	0.1042	9	0.6024	20	NaN	1	0.216	4.81E+01	63	327	0.3	0.2908	1	1	37	NaN		
IME1	YJR094C	9	0.1203	6	0.325	1	-0.032	1	0.249	5.12E+01	14	360	NaN	0.6375	NaN	NaN	0	76		
RPL43B	YJR094W-A	16	NaN	9	NaN	4	0.061	2	0.582	3.03E+01	769	92	NaN	0.6416	NaN	NaN	82	25		
SFC1	YJR095W	20	0.0251	11	0.2857	0	-0.004	1	0.32	4.66E+01	63	322	0.1	0.6677	3	1	19	18		
YJR096W	YJR096W	21	0.0602	8	0.0213	3	-0.012	1	0.289	5.05E+01	1143	282	0.6	0.7601	1	1	8	19		
JJJ3	YJR097W	23	0.1342	8	0.314	2	0.001	1	0.194	5.53E+01	638	172	0.4	0.6414	2	2	31	19	SPAC926.05c	SPAC926.05c
YJR098C	YJR098C	17	0.1068	6	0.374	1	-0.047	1	0.229	4.92E+01	54	655	0.2	0.3596	1	1	2	8		
YUH1	YJR099W	23	0.1672	9	0.1653	0	-0.048	1	0.169	5.14E+01	361	236	0.6	0.3531	1	1	83	31	uch1	SPAC27F1.03c
YJR100C	YJR100C	21	0.0834	3	0.1498	0	-0.054	1	0.225	5.06E+01	515	327	1	0.3504	1	1	54	18	SPAC343.06c	SPAC343.06c
RSM26	YJR101W	23	0.1008	10	0.0752	10	NaN	2	0.205	5.46E+01	376	266	1.8	0.3446	1	1	3	NaN	SPBC16A3.14	SPBC16A3.14
VPS25	YJR102C	22	0.1154	11	0.0495	7	NaN	1	0.23	5.82E+01	384	202	0.4	0.3974	1	1	63	NaN	vps25	SPBC4B4.06
URA8	YJR103W	23	0.0455	12	0.0035	6	-0.001	2	0.241	5.56E+01	312	564	0.8	0.5488	2	2	25	17		
SOD1	YJR104C	19	0.0459	20	0.1039	4	NaN	1	0.431	4.17E+01	408	154	14.7	0.5947	1	1	69	NaN	sod1	SPAC821.10c
ADO1	YJR105W	23	0.0361	11	0.0235	2	NaN	1	0.43	4.06E+01	606	340	9.5	0.5327	1	1	75	NaN	SPCC338.14	SPCC338.14
ECM27	YJR106W	23	NaN	7	0.1021	1	-0.026	2	0.195	5.45E+01	228	725	0.2	0.5149	2	1	19	9		
YJR107W	YJR107W	17	0.0688	7	0.0335	0	-0.006	1	0.199	5.20E+01	399	328	0.4	0.4036	1	1	19	7		
ABM1	YJR108W	2	0.365	3	0.0407	4	0.01	1	0.243	5.10E+01	9	123	NaN	0.5644	NaN	NaN	NaN	3		
CPA2	YJR109C	23	0.0214	17	0.0179	11	NaN	1	0.308	4.31E+01	147	1118	0.8	0.7805	6	4	16	NaN	arg4	SPBC215.08c
YMR1	YJR110W	22	0.0585	7	0.1061	2	-0.042	1	0.244	4.87E+01	219	688	0.3	0.4571	2	2	77	10	SPAC19A8.03	SPAC19A8.03
YJR111C	YJR111C	22	0.038	3	0.0989	0	-0.064	1	0.237	5.39E+01	190	283	0.9	0.5038	1	1	5	6	SPBC17D11.03c	SPBC17D11.03c
NNF1	YJR112W	23	0.1302	12	0.1841	4	NaN	1	0.226	5.39E+01	245	201	0.9	0.5619	1	1	1	NaN	nnf1	SPAC29E6.04
RSM7	YJR113C	23	0.0799	9	0.2753	19	NaN	1	0.205	5.54E+01	346	247	1.1	0.4657	1	1	28	NaN	SPAC16E8.10c	SPAC16E8.10c
YJR115W	YJR115W	9	NaN	3	0.1657	0	-0.03	2	0.215	5.87E+01	68	169	0.3	0.4682	NaN	NaN	0	8		
YJR116W	YJR116W	23	0.0398	5	0.0717	0	-0.046	2	0.23	5.22E+01	38	279	0.8	0.4302	1	1	34	7	SPAC17A2.02c	SPAC17A2.02c
STE24	YJR117W	20	0.0403	3	0.053	19	-0.011	1	0.333	4.67E+01	205	453	2	0.3865	1	1	78	90	SPAC3H1.05	SPAC3H1.05
ILM1	YJR118C	23	0.1619	7	0.1626	15	NaN	1	0.245	4.83E+01	368	203	1	0.3027	1	1	1	NaN		
JHD2	YJR119C	18	0.1277	14	0.147	3	-0.017	1	0.24	5.27E+01	57	728	0.2	0.542	3	3	33	33	jmj2	SPAC1002.05c
YJR120W	YJR120W	1	NaN	5	0.3448	0	0.059	1	0.191	5.15E+01	22	116	NaN	0.5157	NaN	NaN	NaN	52		
ATP2	YJR121W	23	0.0057	24	0.137	11	NaN	1	0.447	3.62E+01	479	511	4.3	0.5162	3	3	82	NaN	atp2	SPAC222.12c
CAF17	YJR122W	23	0.0806	5	0.1348	3	NaN	1	0.212	5.01E+01	471	497	0.6	0.6088	NaN	NaN	50	NaN	SPAC21E11.07	SPAC21E11.07
RPS5	YJR123W	23	0.0327	11	0.1289	25	NaN	1	0.843	2.61E+01	862	225	37.4	0.7274	1	1	83	NaN		
YJR124C	YJR124C	20	0.0482	8	0.1049	1	-0.017	1	0.23	4.65E+01	1061	448	1	0.6048	2	1	10	17		
ENT3	YJR125C	23	0.0756	16	0.598	4	0.012	1	0.221	4.93E+01	888	408	1.2	0.4964	1	1	58	23	SPCC794.11c	SPCC794.11c
VPS70	YJR126C	23	0.0709	13	0.1048	0	0.045	3	0.203	5.38E+01	284	811	1	0.4118	2	2	50	12		
RSF2	YJR127C	23	NaN	9	0.5486	1	-0.021	4	0.214	5.48E+01	189	1380	0.3	0.494	2	2	2	7		
YJR129C	YJR129C	22	0.1066	3	0.0649	0	-0.031	1	0.208	6.01E+01	370	339	0.2	0.5535	1	1	46	6	SPAC3A11.03	SPAC3A11.03
STR2	YJR130C	23	0.0645	14	0.0798	1	-0.016	3	0.209	5.34E+01	616	639	0.6	0.4826	1	1	10	7		
MNS1	YJR131W	23	0.1035	10	0.0783	2	0.009	1	0.228	5.26E+01	34	549	0.3	0.4334	1	1	74	23	mns1	SPAC2E1P5.01c
NMD5	YJR132W	23	NaN	7	0.0458	8	NaN	2	0.24	5.24E+01	956	1048	0.8	0.5918	1	1	69	NaN	SPCC550.11	SPCC550.11
XPT1	YJR133W	22	0.0437	9	0.1244	4	-0.007	2	0.354	4.56E+01	167	209	1.3	0.3484	1	1	7	24	hpt1	SPAC23C11.13c
SGM1	YJR134C	20	0.1578	4	0.4866	1	0.016	1	0.227	4.87E+01	457	707	0.6	0.3962	2	2	20	13	SPBC365.07c	SPBC365.07c
MCM22	YJR135C	10	0.2994	17	0.1213	11	-0.065	1	0.218	5.11E+01	200	239	0.1	0.4093	NaN	NaN	0	32		
YJR136C	YJR136C	22	0.26	6	0.0261	1	NaN	1	0.236	5.97E+01	163	421	0.7	0.3656	1	1	0	NaN	tti2	SPBC1604.17c
ECM17	YJR137C	23	0.0458	21	0.1186	0	0.008	1	0.317	4.32E+01	55	1442	0.6	0.5621	4	3	10	25	sir1	SPAC10F6.01c
IML1	YJR138W	23	0.0621	8	0.3352	6	NaN	1	0.232	5.02E+01	138	1584	0.2	0.4636	2	2	53	NaN	SPBC26H8.04c	SPBC26H8.04c
HOM6	YJR139C	23	0.0288	15	0.0056	1	0.268	1	0.499	3.66E+01	237	359	5.9	0.3652	2	2	21	154	SPBC776.03	SPBC776.03
HIR3	YJR140C	23	0.0842	10	0.1644	4	-0.015	1	0.225	5.28E+01	322	1648	0.4	0.476	NaN	NaN	4	73	hip3	SPBC31F10.14c
YJR141W	YJR141W	23	0.2647	3	0.0692	3	NaN	1	0.258	5.45E+01	317	347	0.7	0.3896	1	1	11	NaN		
YJR142W	YJR142W	23	0.0971	4	0.0439	0	-0.022	2	0.231	5.20E+01	184	342	0.6	0.3504	1	1	38	20	tnr3	SPAC6F12.05c
PMT4	YJR143C	23	0.0519	6	0.1352	2	NaN	1	0.313	4.78E+01	950	762	4.5	0.5633	2	2	27	NaN	ogm4	SPBC16C6.09
MGM101	YJR144W	23	0.1081	7	0.3309	0	NaN	1	0.218	4.81E+01	504	269	2.1	0.4124	1	1	10	NaN	mgm101	SPBC30D10.08
RPS4A	YJR145C	23	0.0154	9	0.1226	53	NaN	2	0.699	2.96E+01	848	261	25.5	0.7273	NaN	NaN	83	NaN		
HMS2	YJR147W	21	0.2381	8	0.1704	0	-0.069	5	0.236	5.79E+01	240	358	0.3	0.6661	1	1	6	7		
BAT2	YJR148W	23	0.0625	8	0.0612	5	NaN	2	0.257	5.06E+01	104	376	6.1	0.675	1	1	59	NaN		
YJR149W	YJR149W	16	0.1142	6	0.0619	0	-0.001	1	0.237	4.99E+01	370	404	0.6	0.7025	1	1	15	7		
DAN1	YJR150C	18	0.3432	8	0.6409	0	-0.01	2	0.333	4.03E+01	19	298	NaN	0.7237	1	1	0	10		
DAN4	YJR151C	10	0.5236	8	0.7321	0	NaN	9	0.283	4.42E+01	116	1161	0.4	0.3423	1	1	3	NaN		
DAL5	YJR152W	22	0.0317	9	0.1897	16	-0.04	9	0.255	5.01E+01	35	543	0.4	0.5017	1	1	24	7	SPCC417.10	SPCC417.10
PGU1	YJR153W	8	0.0507	9	0.0471	0	-0.05	1	0.239	4.80E+01	25	361	0.1	0.4909	1	1	13	2		
YJR154W	YJR154W	3	0.0986	3	0.0434	2	-0.024	1	0.212	5.56E+01	33	346	0.2	0.5084	1	1	1	6		
AAD10	YJR155W	1	NaN	6	0.0382	1	NaN	1	0.249	5.47E+01	405	288	0.2	0.5198	1	1	8	NaN		
THI11	YJR156C	18	NaN	4	0.0118	2	NaN	4	0.562	3.47E+01	263	340	0.3	0.6199	1	1	NaN	NaN		
HXT16	YJR158W	13	NaN	11	0.1817	0	NaN	29	0.234	5.16E+01	114	567	NaN	0.5308	1	1	NaN	NaN		
SOR1	YJR159W	12	0.0425	10	0.0112	3	NaN	4	0.269	5.23E+01	113	357	0.7	0.5613	2	2	34	NaN		
MPH3	YJR160C	13	NaN	12	0.1977	0	NaN	29	0.207	4.92E+01	21	602	0.1	0.564	1	1	2	NaN		
COS5	YJR161C	4	NaN	5	0.1175	1	NaN	9	0.237	5.55E+01	479	383	1.3	0.5311	2	1	NaN	NaN		
DNM1	YLL001W	23	0.0321	17	0.2444	21	0.019	1	0.25	4.79E+01	1009	757	0.4	0.5851	3	3	74	65	dnm1	SPBC12C2.08
RTT109	YLL002W	23	0.1343	12	0.1101	1	0.195	1	0.215	5.53E+01	258	436	0.3	0.3798	1	1	3	82	rtt109	SPBC342.06c
SFI1	YLL003W	23	0.1493	15	0.1702	0	NaN	1	0.207	5.48E+01	277	946	0.4	0.4254	2	2	1	NaN		
ORC3	YLL004W	22	0.0691	13	0.0698	8	NaN	1	0.218	5.51E+01	461	616	0.9	0.4478	NaN	NaN	12	NaN	orp3	SPAC3H1.01c
SPO75	YLL005C	18	0.1298	7	0.0611	4	0.008	1	0.218	5.34E+01	15	868	NaN	0.4025	2	2	4	4		
MMM1	YLL006W	23	0.0648	12	0.3427	0	0.182	1	0.194	5.71E+01	503	426	0.4	0.4751	1	1	8	101	mmm1	SPBC27B12.01c
YLL007C	YLL007C	19	0.2898	3	0.1293	0	NaN	1	0.21	5.13E+01	41	665	0.2	0.4764	NaN	NaN	0	NaN		
DRS1	YLL008W	22	0.0893	14	0.4907	12	NaN	1	0.295	4.87E+01	1167	752	3.3	0.7756	2	2	77	NaN	ddx27	SPAC30D11.03
COX17	YLL009C	20	0.0349	9	0.4058	0	NaN	1	0.318	2.63E+01	315	69	4.2	0.5729	1	1	55	NaN	cox17	SPBC26H8.14c
PSR1	YLL010C	23	0.0807	5	0.5808	3	-0.064	2	0.251	5.76E+01	77	427	0.7	0.4087	1	1	43	30		
SOF1	YLL011W	23	NaN	10	0.227	13	NaN	1	0.277	4.68E+01	1045	489	1.6	0.7	6	2	81	NaN	SPBC1A4.07c	SPBC1A4.07c
YEH1	YLL012W	20	0.0574	9	0.1274	5	0.004	2	0.222	5.33E+01	253	573	1.3	0.5814	1	1	5	3		
PUF3	YLL013C	23	0.0748	13	0.3959	2	-0.044	1	0.274	5.15E+01	9	879	NaN	0.5501	6	1	53	18		
YLL014W	YLL014W	19	0.1149	5	0.0648	3	-0.018	1	0.175	4.09E+01	331	108	4.8	0.3188	1	1	2	38		
BPT1	YLL015W	23	0.0549	19	0.1264	0	-0.023	7	0.227	4.91E+01	122	1559	0.7	0.4932	4	2	3	28		
SDC25	YLL016W	NaN	NaN	9	0.2242	1	-0.05	NaN	NaN	NaN	0	NaN	0.1	NaN	1	1	NaN	6		
YLL017W	YLL017W	NaN	NaN	8	0.3592	1	-0.027	NaN	NaN	NaN	0	NaN	NaN	NaN	2	2	NaN	3		
DPS1	YLL018C	23	0.0152	12	0.1706	4	NaN	1	0.405	3.97E+01	310	557	5.5	0.3122	2	2	85	NaN	drs1	SPCC1223.07c
KNS1	YLL019C	23	0.0426	10	0.4735	2	-0.007	1	0.219	5.47E+01	940	737	0.6	0.5741	1	1	59	16		
SPA2	YLL021W	23	0.2199	21	0.5553	7	-0.029	2	0.232	5.15E+01	693	1466	0.8	0.6137	2	1	6	37	SPAC3G9.05	SPAC3G9.05
HIF1	YLL022C	20	0.2384	9	0.3636	17	NaN	1	0.233	5.26E+01	663	385	1.1	0.5598	1	1	0	NaN		
YLL023C	YLL023C	23	0.082	6	0.1362	22	-0.003	3	0.342	4.61E+01	926	279	1.3	0.6587	1	1	27	26	SPBC1539.04	SPBC1539.04
SSA2	YLL024C	13	0.0338	17	0.1252	11	-0.009	9	0.806	2.69E+01	214	639	20.1	0.6745	1	1	9	7		
YLL025W	YLL025W	5	NaN	4	0.0484	0	-0.025	22	0.637	2.81E+01	167	124	2.1	0.3564	1	1	NaN	5		
HSP104	YLL026W	23	0.0121	20	0.1476	12	-0.042	1	0.371	4.09E+01	924	908	4.9	0.9123	5	4	24	12	SPBC16D10.08c	SPBC16D10.08c
ISA1	YLL027W	23	0.1149	6	0.412	7	NaN	1	0.208	5.87E+01	196	250	1.3	0.4838	1	1	13	NaN	isa1	SPCC645.03c
TPO1	YLL028W	21	0.0407	14	0.2696	38	-0.066	3	0.259	4.55E+01	126	586	2.7	0.6336	1	1	13	7		
YLL029W	YLL029W	23	0.0542	12	0.1108	4	0.061	1	0.231	5.36E+01	721	749	1.1	0.4536	2	2	82	45	SPAC22G7.01c	SPAC22G7.01c
GPI13	YLL031C	23	0.0585	9	0.0639	7	NaN	1	0.273	5.01E+01	191	1017	1.6	0.4149	1	1	67	NaN	gpi13	SPBC27B12.06
YLL032C	YLL032C	23	0.1242	5	0.1067	2	-0.051	1	0.24	5.15E+01	53	825	0.2	0.535	1	1	0	6		
YLL033W	YLL033W	16	0.1535	5	0.1348	2	NaN	1	0.189	5.17E+01	35	230	0.1	0.3983	NaN	NaN	0	NaN		
RIX7	YLL034C	23	0.0241	10	0.3118	19	NaN	1	0.246	4.70E+01	1038	837	2.1	0.6267	2	1	70	NaN	SPBC16E9.10c	SPBC16E9.10c
GRC3	YLL035W	23	0.0851	4	0.1883	0	NaN	1	0.215	5.32E+01	682	632	0.6	0.6013	1	1	23	NaN	SPCC830.03	SPCC830.03
PRP19	YLL036C	23	0.1772	22	0.1272	23	NaN	1	0.217	5.67E+01	714	503	1	0.3947	1	1	49	NaN	prp19	SPAC29A4.08c
ENT4	YLL038C	23	0.041	6	0.4494	1	0.054	3	0.19	61	19	247	0.3	0.5766	1	1	6	50		
UBI4	YLL039C	23	0.0066	12	0.0787	0	0.339	1	0.401	3.81E+01	786	381	2.5	0.616	5	1	63	109	ubi4	SPBC337.08c
VPS13	YLL040C	22	0.0432	12	0.181	12	0.054	1	0.257	5.00E+01	118	3144	0.9	0.3652	2	2	70	87	vps13a	SPBC21C3.01c
SDH2	YLL041C	23	0.0457	23	0.2105	0	0.033	1	0.3	4.59E+01	830	266	1.1	0.7467	2	2	76	38	sdh2	SPAC140.01
ATG10	YLL042C	7	0.2268	10	0.0539	1	0.029	1	0.237	5.08E+01	5	167	0.8	0.3714	1	1	0	32		
FPS1	YLL043W	14	0.0341	19	0.4514	6	0.076	2	0.209	4.97E+01	199	669	1.2	0.2269	1	1	7	111		
RPL8B	YLL045C	22	0.0839	7	0.293	35	0.095	2	0.851	2.64E+01	845	256	23.5	0.6819	1	1	65	76		
RNP1	YLL046C	23	0.2492	5	0.3454	1	-0.021	2	0.202	5.07E+01	15	249	NaN	0.5922	2	2	3	30		
YBT1	YLL048C	23	NaN	14	0.1288	5	0.002	7	0.274	4.73E+01	442	1661	1.8	0.4172	4	2	12	25		
LDB18	YLL049W	6	0.3324	6	0.0168	3	0.125	1	0.216	5.92E+01	27	179	0.6	0.2337	NaN	NaN	NaN	112		
COF1	YLL050C	19	0.027	10	0.1049	7	NaN	1	0.553	3.36E+01	301	143	15.4	0.3536	1	1	79	NaN	adf1	SPAC20G4.06c
FRE6	YLL051C	23	0.1409	17	0.0801	0	-0.028	9	0.218	5.55E+01	75	712	0.9	0.4603	3	3	10	6		
AQY2	YLL052C	17	NaN	5	0.1544	1	-0.039	3	0.317	5.05E+01	11	149	0.2	0.3792	NaN	NaN	NaN	4		
YLL053C	YLL053C	17	NaN	8	0.0724	0	-0.043	3	0.393	4.38E+01	4	152	0.8	0.5118	1	1	4	1		
YLL054C	YLL054C	10	0.1444	12	0.1964	0	-0.021	2	0.221	5.26E+01	65	769	NaN	0.4876	1	1	0	3		
YLL055W	YLL055W	22	0.0428	7	0.1864	1	-0.013	9	0.229	4.65E+01	95	531	0.6	0.6616	1	1	8	7		
YLL056C	YLL056C	10	0.162	8	0	0	-0.009	1	0.256	5.05E+01	326	298	0.3	0.6211	1	1	12	1	SPBC2A9.02	SPBC2A9.02
JLP1	YLL057C	12	0.0681	8	0.1189	2	-0.048	1	0.229	4.83E+01	52	412	NaN	0.4696	1	1	16	8		
YLL058W	YLL058W	23	0.1378	8	0.1061	1	-0.033	3	0.184	5.61E+01	265	575	0.4	0.4988	1	1	NaN	16		
GTT2	YLL060C	11	0.0851	4	0.0386	11	-0.014	1	0.187	5.41E+01	179	233	0.3	0.6463	2	2	57	11		
MMP1	YLL061W	23	0.0544	10	0.1269	1	-0.045	16	0.225	5.45E+01	45	583	0.4	0.7113	1	1	6	4		
MHT1	YLL062C	15	0.2159	10	0.0247	4	-0.058	3	0.237	5.95E+01	27	324	0.2	0.6244	1	1	48	NaN		
AYT1	YLL063C	5	0.228	5	0.1646	2	-0.048	1	0.221	5.52E+01	43	474	0.1	0.4925	1	1	10	3		
YLL064C	YLL064C	5	NaN	6	0.05	0	NaN	22	0.695	2.73E+01	110	120	1.3	0.4556	1	1	NaN	NaN		
YLL066C	YLL066C	7	NaN	8	0.3104	0	NaN	15	0.204	5.76E+01	51	1205	3.6	0.4701	2	2	NaN	NaN		
YLL067C	YLL067C	1	NaN	8	0.2963	0	NaN	1	0.209	5.70E+01	51	1205	3.5	0.5077	2	2	NaN	NaN		
YLR001C	YLR001C	21	0.1361	7	0.0766	0	-0.047	1	0.207	5.35E+01	608	862	0.6	0.5147	2	1	4	NaN	SPAC22H12.05c	SPAC22H12.05c
NOC3	YLR002C	23	0.0832	11	0.3213	18	NaN	1	0.248	4.88E+01	1040	663	0.9	0.7066	2	2	74	NaN	noc3	SPBC887.03c
YLR003C	YLR003C	23	0.1861	4	0.2715	2	-0.01	1	0.232	4.95E+01	1018	291	1.3	0.7321	NaN	NaN	5	11	SPBC23G7.07c	SPBC23G7.07c
THI73	YLR004C	22	0.0481	7	0.1874	0	-0.001	9	0.327	4.70E+01	32	523	NaN	0.5374	1	1	9	16		
SSL1	YLR005W	23	0.0237	19	0.2603	7	NaN	1	0.242	5.42E+01	139	461	1.3	0.3198	2	2	82	NaN	ssl1	SPCC1682.07
SSK1	YLR006C	23	0.1246	9	0.2823	3	-0.015	1	0.211	5.32E+01	335	712	0.3	0.5021	1	1	1	24		
NSE1	YLR007W	13	0.1592	9	0.1131	0	NaN	1	0.197	5.95E+01	341	336	0.4	0.3318	2	2	19	NaN		
PAM18	YLR008C	23	0.0612	12	0.494	0	NaN	2	0.225	4.10E+01	651	168	2.4	0.4744	1	1	13	NaN	tim14	SPAC824.06
RLP24	YLR009W	23	0.0266	12	0.5628	0	NaN	3	0.407	4.58E+01	1017	199	4.2	0.7781	1	1	80	NaN	rpl2403	SPAC22E12.13c
TEN1	YLR010C	4	0.3482	8	0.0312	1	NaN	1	0.268	5.68E+01	32	160	0.3	0.4997	1	1	NaN	NaN		
LOT6	YLR011W	5	0.211	10	0.0105	4	-0.092	1	0.181	5.15E+01	198	191	0.2	0.5285	1	1	9	4	SPCC4B3.06c	SPCC4B3.06c
YLR012C	YLR012C	3	0.1448	3	0.0808	0	0.041	1	0.305	4.54E+01	7	99	NaN	0.666	NaN	NaN	NaN	7		
GAT3	YLR013W	1	0.2047	7	0.6809	0	-0.013	1	0.223	5.83E+01	11	141	NaN	0.613	1	1	1	4		
PPR1	YLR014C	18	0.0926	10	0.4204	4	0.029	1	0.217	5.40E+01	440	904	0.3	0.5521	2	2	5	26		
BRE2	YLR015W	23	0.1112	12	0.2416	11	0.178	1	0.228	5.48E+01	804	505	0.4	0.4407	NaN	NaN	11	115	ash2	SPBC13G1.08c
PML1	YLR016C	19	0.1398	9	0.2255	0	-0.023	1	0.238	61	181	204	0.9	0.3585	1	1	30	5		
MEU1	YLR017W	23	0.0252	9	0.0237	2	-0.011	1	0.305	5.14E+01	1006	337	2.9	0.6269	1	1	62	6	SPAC16C9.02c	SPAC16C9.02c
POM34	YLR018C	23	0.245	12	0.3445	0	-0.012	1	0.206	5.73E+01	528	299	1.1	0.3994	1	1	0	31		
PSR2	YLR019W	23	0.094	4	0.4836	2	-0.017	2	0.229	5.78E+01	68	397	0.9	0.3692	1	1	28	9		
YEH2	YLR020C	20	0.0586	7	0.1487	1	-0.018	2	0.214	5.18E+01	737	538	1.3	0.2775	1	1	14	4		
YLR021W	YLR021W	15	0.1919	5	0.1508	2	0.056	1	0.221	4.84E+01	315	179	0.7	0.3461	1	1	0	40		
